supplier_id,supplier_name,contact_person,email,phone,country,city,rating,contract_start_date
1,TechSupply Co,Emily Brown,contact1@techsupplyco.com,+1-555-5012,China,Shanghai,3.83,2020-07-28
2,Global Electronics,David Lee,contact2@globalelectroni.com,+1-555-1520,Italy,Capital City,3.54,2021-03-23
3,Smart Devices Ltd,David Smith,contact3@smartdevicesltd.com,+1-555-4257,UK,Glasgow,4.57,2023-12-07
4,Fashion Forward Inc,Jane Lee,contact4@fashionforwardi.com,+1-555-5557,Italy,Capital City,4.71,2020-01-14
5,Home Essentials,Michael Brown,contact5@homeessentials.com,+1-555-3547,Germany,Frankfurt,3.82,2021-11-20
6,Sports Gear Pro,Sarah Smith,contact6@sportsgearpro.com,+1-555-6881,China,Shanghai,4.77,2023-05-21
7,Beauty Supply Co,Emily Lee,contact7@beautysupplyco.com,+1-555-9785,Japan,Tokyo,3.69,2022-02-14
8,BookWorld Distributors,Michael Garcia,contact8@bookworlddistri.com,+1-555-6925,China,Hangzhou,4.37,2023-12-13
9,Toy Kingdom,Emily Johnson,contact9@toykingdom.com,+1-555-5741,China,Shanghai,4.98,2021-04-21
10,Pet Paradise Supply,Michael Lee,contact10@petparadisesupp.com,+1-555-6977,China,Guangzhou,3.74,2021-12-28
11,Garden Experts,Emily Garcia,contact11@gardenexperts.com,+1-555-2169,UK,Birmingham,4.41,2020-12-16
12,Auto Parts Direct,Jane Lee,contact12@autopartsdirect.com,+1-555-7216,Italy,Capital City,3.9,2023-08-03
13,Kitchen Innovations,Emily Brown,contact13@kitcheninnovati.com,+1-555-1916,Italy,Capital City,3.84,2020-03-06
14,Office Solutions,Michael Smith,contact14@officesolutions.com,+1-555-4456,South Korea,Capital City,4.87,2023-03-07
15,Music & Sound Co,Emily Lee,contact15@musicandsoundco.com,+1-555-7482,South Korea,Capital City,4.83,2023-08-09
16,Gaming World Supply,Michael Johnson,contact16@gamingworldsupp.com,+1-555-5040,Canada,Capital City,4.62,2023-01-08
17,Health & Wellness Dist,Sarah Chen,contact17@healthandwellne.com,+1-555-7543,Japan,Sapporo,4.04,2020-10-10
18,Outdoor Adventure Co,John Smith,contact18@outdooradventur.com,+1-555-2796,Italy,Capital City,3.73,2020-11-23
19,Baby Care Supply,Sarah Lee,contact19@babycaresupply.com,+1-555-8668,India,Capital City,4.29,2023-02-07
20,Footwear International,Emily Chen,contact20@footwearinterna.com,+1-555-5371,USA,New York,4.65,2021-11-27
21,Jewelry Craftsmen,Sarah Johnson,contact21@jewelrycraftsme.com,+1-555-8433,China,Shenzhen,3.5,2024-01-18
22,Watch Masters,Jane Chen,contact22@watchmasters.com,+1-555-2743,Japan,Sapporo,4.81,2021-09-03
23,Luggage Experts,Jane Brown,contact23@luggageexperts.com,+1-555-3646,Italy,Capital City,4.31,2022-12-22
24,Furniture Wholesale,Michael Lee,contact24@furniturewholes.com,+1-555-1319,USA,Phoenix,3.67,2022-01-13
25,Lighting Solutions,John Johnson,contact25@lightingsolutio.com,+1-555-2290,Japan,Osaka,3.63,2022-09-22
26,Textile Traders,Jane Johnson,contact26@textiletraders.com,+1-555-8787,China,Hangzhou,4.92,2020-12-04
27,Cosmetics Global,David Lee,contact27@cosmeticsglobal.com,+1-555-4470,Japan,Sapporo,4.89,2024-02-03
