review_id,product_id,customer_id,order_id,rating,review_title,review_text,review_date,verified_purchase,helpful_count
1,440.0,1910,7775,4,Waste of money,This is a sample review text for the product. Rating: 4/5,2023-10-06,True,29
2,472.0,724,5189,5,Highly recommend,This is a sample review text for the product. Rating: 5/5,2023-07-03,True,5
3,494.0,816,4908,3,Love it!,This is a sample review text for the product. Rating: 3/5,2024-10-11,True,8
4,153.0,1402,4636,4,Highly recommend,This is a sample review text for the product. Rating: 4/5,2023-12-05,True,21
5,217.0,390,6280,2,Highly recommend,This is a sample review text for the product. Rating: 2/5,2024-11-13,True,27
6,229.0,123,3007,4,Exceeded expectations,This is a sample review text for the product. Rating: 4/5,2023-07-19,True,1
7,12.0,713,569,5,Excellent quality,This is a sample review text for the product. Rating: 5/5,2023-08-17,True,13
8,329.0,1010,5934,5,Highly recommend,This is a sample review text for the product. Rating: 5/5,2024-04-14,True,8
9,405.0,368,6271,5,Excellent quality,This is a sample review text for the product. Rating: 5/5,2024-08-03,True,30
10,253.0,1094,6824,3,Brilliant!,This is a sample review text for the product. Rating: 3/5,2023-02-22,True,39
11,397.0,1978,7218,5,Disappointed,This is a sample review text for the product. Rating: 5/5,2024-07-02,True,30
12,355.0,1873,7894,2,Disappointed,This is a sample review text for the product. Rating: 2/5,2023-12-27,True,0
13,313.0,1340,1075,3,Disappointed,This is a sample review text for the product. Rating: 3/5,2024-07-12,True,37
14,193.0,1474,2890,4,Terrible quality,This is a sample review text for the product. Rating: 4/5,2024-05-20,True,46
15,15.0,690,5394,4,Highly recommend,This is a sample review text for the product. Rating: 4/5,2023-02-19,True,10
16,109.0,898,4421,4,Brilliant!,This is a sample review text for the product. Rating: 4/5,2024-04-05,True,7
17,233.0,1952,4477,4,Love it!,This is a sample review text for the product. Rating: 4/5,2024-02-23,True,6
18,127.0,1094,5563,5,Exceeded expectations,This is a sample review text for the product. Rating: 5/5,2024-11-01,True,47
19,460.0,557,6006,3,Amazing purchase,This is a sample review text for the product. Rating: 3/5,2024-07-13,True,24
20,459.0,1573,2427,4,Love it!,This is a sample review text for the product. Rating: 4/5,2024-10-24,True,5
21,153.0,536,7633,4,Just okay,This is a sample review text for the product. Rating: 4/5,2024-05-01,True,22
22,402.0,435,614,4,Waste of money,This is a sample review text for the product. Rating: 4/5,2023-11-04,True,37
23,487.0,1825,4874,1,Not bad,This is a sample review text for the product. Rating: 1/5,2024-08-26,True,40
24,104.0,1562,652,4,Disappointed,This is a sample review text for the product. Rating: 4/5,2023-01-27,True,30
25,59.0,1486,6601,4,Could be better,This is a sample review text for the product. Rating: 4/5,2024-01-09,True,43
26,53.0,519,2588,5,Highly recommend,This is a sample review text for the product. Rating: 5/5,2023-11-01,True,12
27,48.0,1728,6936,5,Amazing purchase,This is a sample review text for the product. Rating: 5/5,2024-03-23,True,39
28,188.0,984,2422,2,Amazing purchase,This is a sample review text for the product. Rating: 2/5,2025-01-09,True,25
29,310.0,285,6535,4,Terrible quality,This is a sample review text for the product. Rating: 4/5,2023-09-27,True,31
30,290.0,1071,3282,2,Highly recommend,This is a sample review text for the product. Rating: 2/5,2024-10-01,True,29
31,194.0,1347,4497,4,Not bad,This is a sample review text for the product. Rating: 4/5,2024-01-16,True,3
32,373.0,1728,711,4,Perfect!,This is a sample review text for the product. Rating: 4/5,2024-09-12,True,17
33,435.0,1712,2714,2,Waste of money,This is a sample review text for the product. Rating: 2/5,2024-07-18,True,24
34,292.0,1400,7743,4,Could be better,This is a sample review text for the product. Rating: 4/5,2023-11-13,True,22
35,353.0,676,3310,5,Disappointed,This is a sample review text for the product. Rating: 5/5,2024-03-05,True,46
36,333.0,106,6179,2,Great product!,This is a sample review text for the product. Rating: 2/5,2024-10-19,True,20
37,356.0,1528,7396,2,Excellent quality,This is a sample review text for the product. Rating: 2/5,2024-05-21,True,1
38,253.0,904,7418,2,Brilliant!,This is a sample review text for the product. Rating: 2/5,2023-01-31,True,22
39,487.0,1374,2600,5,Love it!,This is a sample review text for the product. Rating: 5/5,2024-08-01,True,15
40,316.0,1544,713,4,Amazing purchase,This is a sample review text for the product. Rating: 4/5,2024-09-15,True,22
41,202.0,130,7831,4,Not bad,This is a sample review text for the product. Rating: 4/5,2023-01-17,True,49
42,38.0,599,5895,3,Highly recommend,This is a sample review text for the product. Rating: 3/5,2023-05-16,True,36
43,264.0,867,7825,5,Disappointed,This is a sample review text for the product. Rating: 5/5,2024-08-23,True,17
44,225.0,1987,2824,3,Highly recommend,This is a sample review text for the product. Rating: 3/5,2023-12-17,True,7
45,297.0,1649,1801,4,Love it!,This is a sample review text for the product. Rating: 4/5,2024-07-29,True,27
46,60.0,1721,4303,1,Great product!,This is a sample review text for the product. Rating: 1/5,2024-06-02,True,28
47,482.0,726,901,5,Brilliant!,This is a sample review text for the product. Rating: 5/5,2024-05-22,True,23
48,141.0,321,6140,1,Not bad,This is a sample review text for the product. Rating: 1/5,2023-07-11,True,33
